Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Bahrain,217210.0,165649.52,116819.0,51560.48,217210.0,187344.2,132910.24000000002,29865.8,217210.0,198016.83000000002,149932.97999999998,19193.17,217210.0,160809.00999999998,139805.12,56400.990000000005,268845.0,193483.32,175083.83,75361.68,2774720.0,1969825.73,1455437.27,804894.27,2602360.0,1987478.0999999999,1559602.73,614881.9
Iraq,6497852.9,5346908.82,4287117.84,1150944.0799999998,6497852.9,5438219.63,4705054.9,1059633.2699999998,6497852.9,5237378.02,4360818.87,1260474.8800000001,8425589.7,6687792.279999999,5270907.05,1737797.4200000002,7117950.0,5362380.56,4771899.17,1755569.4400000002,7571780.0,6115363.79,4570256.68,1456416.2099999997,6103399.0,4869291.180000001,3611087.71,1234107.82
Jordan,44000.0,33315.66,25804.21,10684.339999999997,44000.0,36569.54,33397.13,7430.459999999999,44000.0,34785.09,21749.9,9214.910000000003,44000.0,38430.09,32688.22,5569.9100000000035,44000.0,39794.08,26462.26,4205.919999999998,44000.0,34336.38,23606.28,9663.620000000003,44000.0,34090.29,27762.63,9909.71
Lebanon,1174162.0,811536.73,646467.6399999999,362625.27,1174162.0,874166.1799999999,675727.34,299995.82,1174162.0,816774.81,622363.75,357387.18999999994,1174162.0,1066521.78,838435.24,107640.22000000003,1174162.0,873704.76,644844.2,300457.24,1174162.0,916214.74,716308.64,257947.25999999998,924162.0,745277.18,673463.25,178884.81999999998
Saudi Arabia,1405050.0,1306593.79,1011369.63,98456.20999999999,1405050.0,1070503.3,928753.44,334546.70000000007,1405050.0,1253724.92,1071674.4100000001,151325.08000000005,1405050.0,1107225.07,857996.89,297824.93000000005,1405050.0,1206323.47,914775.9400000001,198726.52999999997,1405050.0,1100569.05,900596.13,304480.94999999995,1380150.0,1085173.08,943464.36,294976.92000000004
Grand Total,9338274.9,7664004.5200000005,6087578.319999999,1674270.38,9338274.9,7606802.85,6475843.050000001,1731472.0499999998,9338274.9,7540679.67,6226539.91,1797595.23,11266011.7,9060778.229999999,7139832.52,2205233.47,10010007.0,7675686.1899999995,6533065.4,2334320.81,12969712.0,10136309.69,7666204.999999999,2833402.3099999996,11054071.0,8721309.83,6815380.68,2332761.1700000004
