Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Bahrain,2611623.75,1956782.4000000001,1577450.64,654841.35,2611623.75,1928829.53,1558505.92,682794.22,2611623.75,2155075.49,1562788.49,456548.25999999995,1373210.0,1113462.0,1006028.2100000001,259748.0,1421845.0,1081183.1099999999,934695.26,340661.89,3800720.0,3286687.29,2589780.4,514032.70999999996,3850720.0,3078274.35,2088828.62,772445.65
Iraq,4295398.65,3850495.09,2767828.28,444903.5599999998,4295398.65,3572605.82,3169648.3000000003,722792.8300000002,2964725.11,2489449.26,1992739.81,475275.85,5350551.77,3794519.24,2907793.33,1556032.53,5815425.55,5301093.46,4289598.06,514332.09,6068279.78,4324924.61,3497732.4899999998,1743355.17,2938428.25,2629771.13,2033818.03,308657.1199999999
Jordan,0.0,0.0,0.0,0.0,0.0,44000.0,44000.0,0.0,0.0,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,1049162.0,885841.62,799590.23,163320.38,1049162.0,891788.24,766578.2999999999,157373.76,1049162.0,927734.54,663675.29,121427.45999999999,1049162.0,709495.88,509873.8,339666.12,1049162.0,950154.93,739397.0399999999,99007.06999999998,1422093.02,1112352.28,828019.37,309740.74,924162.0,792347.98,638909.73,131814.01999999996
Saudi Arabia,1306150.0,1167834.2,1094659.79,138315.8000000001,1306150.0,1031660.21,903121.6799999999,274489.79000000004,1306150.0,1228013.33,870229.38,78136.67,1306150.0,1213331.77,907518.9199999999,92818.22999999998,1306150.0,996266.16,710504.18,309883.83999999997,1373650.0,1266768.09,954038.2,106881.90999999989,1268650.0,966229.8500000001,623898.76,302420.14999999997
Grand Total,9262334.4,7860953.3100000005,6239528.94,1401381.0899999996,9262334.4,7468883.8,6441854.2,1837450.6000000003,7931660.859999999,6844272.62,5089432.97,1131388.2399999998,9079073.77,6830808.890000001,5331214.26,2248264.88,9592582.55,8328697.66,6674194.539999999,1263884.89,12664742.8,9990732.27,7869570.46,2674010.53,8981960.25,7466623.3100000005,5385455.140000001,1515336.94
